mergeCommitID, isConflicting, countLeftLines, countRightLines, arithmeticMeanChangedLines, geometricMeanChangedLines
c623d28723ba1734cac23345ff3cdb3774aa8f51,false,800,4,402.0,56.57
a87605661bc78363ad7581cab6655e304bd0a33e,false,7,734,370.5,71.68
68b60a02863be9a525f9d6d3b2ad8b9464b9636a,true,11023,529,5776.0,2414.78
c667305f259da957657ede8ff7a3d6d82b332c93,false,14,509,261.5,84.42
f4c762026d9737967fc0aca181b51d2124e81acf,false,5,114,59.5,23.87
76720094c1624087ca7811891d8125d17b57d447,false,146,1,73.5,12.08
29973a74ddeaa0a5f28d1677c9541909be48b812,false,7,1,4.0,2.65
efb3cf51411bd470daaff7aa2db1f26b254af236,false,111,141,126.0,125.1
edecf946b268d94590e05cd3325a50b1a39f06b2,false,2,1,1.5,1.41
7aedeae7baf697fddd54372b22f65b22d694dd58,true,82,1220,651.0,316.29
159d977187c5fd14660a7e9b6f9808d2330a7445,false,146,2,74.0,17.09
aa49668008a75a595287943fe4b3529848108b27,false,1,1,1.0,1.0
e02e55d041db4e3f7a4c82780bd68fc7a712730f,false,1183,1,592.0,34.39
5b23b29111037edd83f14c1935106f80617e8c94,false,14,50,32.0,26.46
c42e5b80bd6579ddcb88bdbf002ddc703b18736c,true,2,5,3.5,3.16
fafcc015e0cc23886bf59e6d83a12ea08130d2c2,true,36069,1,18035.0,189.92
0393447bf3e9eaeb96fc7f2233e640ddf42b0280,false,26,4,15.0,10.2
7a02014e1b445c1eb0a997ba9708b56eecd2abf1,true,447972,5,223988.5,1496.62
f418aa3e3ee76577fdfe5ea01dacc6290200659f,false,1,47,24.0,6.86
4cbfb0bb484faabb1e849e901db6b2a416135be5,true,441,993,717.0,661.75
e4575f59cb88a53d32ca5d481703574d9992480c,false,8,11,9.5,9.38
544ecd1c497099eb67da403e027af221241708b7,true,2,5,3.5,3.16
3a91b49cda4c15c835a0e4e8e06febe266712c37,true,800,1,400.5,28.28
0a8259d5a8b4387f06765f88cda64296539734e9,false,99,1,50.0,9.95
04f95ce7f2bc1d58ab149854a8a3c633956cb0dd,false,831,1,416.0,28.83
8c876225b42c9233930c4b82ba1a06af644966c0,false,23268,1,11634.5,152.54
e300c1383eb06892034d7e5cf0206e1993ff1bdf,false,3,1,2.0,1.73
332eee0736b36ff1dd37358c41db26c8f4e3a188,false,11005,34,5519.5,611.69
69ca9ec3af3c34ccbf36828731c68571ab22065f,false,1302,2922,2112.0,1950.5
40da3e5dec6fcb2758d12c9f242b3b57f49f88a2,true,455,626,540.5,533.69
