mergeCommitID, isConflicting, leftDate, rightDate, contributionConclusionDelay
4f8fbf9ed98f646c994d890dc8fd0ffab32e7072,false,2014-05-17,2014-05-17,0
ae849077c78770f096f40e9360250b9e32d14f40,false,2014-03-13,2014-03-28,15
95f5085a91be1a360f758e6e990c10d2a5dc128f,false,2017-12-11,2017-10-29,43
332ed1b883aa6a1b76beeca857551e9fc5b01202,false,2013-04-30,2013-05-02,2
162aa9afcfd629e90b84ecfe4d6287c7c671958a,false,2013-03-25,2013-03-24,1
1a460979183b26a0474c129d5aa27d0e6b796e1c,false,2015-06-21,2015-06-21,0
2c3f7921d212f3769c8308cf56d51573da541dfc,false,2015-09-09,2015-09-09,0
0ac3706d4fc107034395c190be0bb2365dd822e6,false,2017-10-15,2017-10-15,0
0fea81a82366ca23e53263ddcf5986a7f0367fd4,false,2015-09-05,2015-08-31,5
1ccbdfab497c68bdb92041b6bbb469c75e57fd8f,false,2016-02-23,2016-02-22,1
66d36ec00f4932d17ba10eb0b81ed47c8ea94d49,false,2015-09-10,2015-09-09,1
67aca21858cbc407260ce6742bb59ddd8bca5657,false,2015-02-08,2015-02-01,7
b5365e2d3453d06a94967a9579ab9c1718238a56,false,2016-01-16,2016-01-13,3
7da9e8876be9ef8dfd1a54c170d62d5dd8de16f1,false,2017-04-10,2017-04-10,0
8337739ab44af3c52b30f194fa06c09ba30a2dc2,true,2013-08-16,2013-05-13,95
fdf3fea58477ef6cbf4f647fbf4667026027d498,false,2014-12-08,2014-12-02,6
07c2818cc5d67f27623673b94a4759558d42d8ce,false,2016-03-23,2016-03-21,2
dd6d07ada181a5cd05af3e976b31f3f4ad157aea,false,2015-08-01,2015-08-01,0
c921eba52342f52038e5ac6f9a088dde24d10c9e,false,2016-06-06,2016-06-04,2
cd0d23d2606c35d783457f2a945f539382018285,false,2018-05-26,2018-05-05,21
5526937698c6d45188ff273a3b18866da443c29c,true,2018-01-21,2018-01-21,0
0eab73d85bf29df0ee7d161d370e55ddea392350,false,2015-06-18,2015-06-18,0
1bb1f0990f6b9fb6b30383083aa592fd40c4c72e,true,2015-04-16,2015-04-10,6
8683277627f4cf60b4093c8b8e5276264af65845,false,2016-04-12,2016-04-12,0
85e1924085793ec4a19f8ebbb6453fde819ef85b,false,2015-12-20,2015-12-19,1
c7d2975039d209556c5dc37a424549a4e9bba25c,false,2015-08-05,2015-07-28,8
98a0b46bed65b6489923be7364bb9894901ae6fc,false,2015-09-07,2015-09-06,1
58e7118618b256f0a0cdff8750d5e6bb3c8ba8a8,false,2016-10-02,2016-09-23,9
f6794d170c820dffbc653c269bb031abc020ab45,false,2013-03-25,2013-03-24,1
5d36790182e1b9f8c624de06681698f43e243457,false,2016-03-12,2016-03-18,6
